no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
1,Roberto Cavalli,Paradiso Assoluto,415,107.95,50,edp,Women,floral,vanilla sandalwood and patchouli,wild jasmine and red lily,4.08,noon,4.02,98.1K,floral vanilla sandalwood and patchouli wild jasmine and red lily,0
4,Roberto Cavalli,Uomo,260,94.95,50,edp,Women,arabian,vanille benzoin tonka bean,african orange flower,4.08,noon,4.02,98.1K,arabian vanille benzoin tonka bean african orange flower,3
5,Roberto Cavalli,cavalli,260,94.95,50,edp,Women,arabian,vanille benzoin tonka bean,african orange flower,4.08,noon,4.02,98.1K,arabian vanille benzoin tonka bean african orange flower,3
6,HUGO BOSS,The Scent,220,220.0,50,edp,Women,oriental,roasted cocoa,lavender osmanthus flower,4.0,rich&light,43.0,4K,oriental roasted cocoa lavender osmanthus flower,0
7,DORALL COLLECTION,Gold Secret,43,12.35,100,edt,Men,fruity,labdanum and musk,lavender and cloves,2.09,B.A.G,3.07,14.1K,fruity labdanum and musk lavender and cloves,2
8,GUCCI,Bamboo,575,189.0,75,edp,Women,floral,sandalwood,casablanca lily and ylang ylang extracomoros,4.08,Al-Najm,3.07,347,floral sandalwood casablanca lily and ylang ylang extracomoros,0
9,Yves Saint Laurent,M7 Oud Absolu,536,273.0,80,edt,Men,arabian,cistus myrrh oud amber,patchouli,4.05,Al-Najm,3.07,347,arabian cistus myrrh oud amber patchouli,0
11,Calvin Klein,IN 2 U MEN,152,85.0,100,edt,Men,citrus,white musk vetiver and cedar,cacao pod,3.07,AMLAQ,3.09,135,citrus white musk vetiver and cedar cacao pod,2
13,MONTALE,Black Oud,455,240.0,100,edp,Men,floral,mandarin orange agarwood,musk patchouli,3.03,noon,4.02,98.1K,floral mandarin orange agarwood musk patchouli,0
15,CHLOE,Love Story,483,274.95,75,edp,Women,floral,musk cedar cashmirwood patchouli,orange blossom stephanotis rose black currant peach,5.0,noon,4.02,98.1K,floral musk cedar cashmirwood patchouli orange blossom stephanotis rose black currant peach,0
20,NARCISO RODRIGUEZ,Narciso Rodriguez,595,200.0,100,edp,Women,floral,patchouli and sandalwood,amber and musk,4.06,hadayiq baris,3.08,122,floral patchouli and sandalwood amber and musk,1
22,Revlon,Charlie Gold,143,43.0,100,edt,Women,woody,sandalwood cedar wood vanilla caramel musk woody accords,jasmine rose muget freesia cinnamon,4.0,Golden Perfumesعطر أصلي 100  %,3.06,113,woody sandalwood cedar wood vanilla caramel musk woody accords jasmine rose muget freesia cinnamon,1
24,Britney Spears,Fantasy,170,90.0,100,edp,Women,vanilla,luid sandalwood jasmine amber vanilla,sweet napolitano cake verbena jacaranda wood grapefruit blossom,5.0,Cute Shop,3.08,76,vanilla luid sandalwood jasmine amber vanilla sweet napolitano cake verbena jacaranda wood grapefruit blossom,0
27,Van Cleef & Arpels,First,170.95,170.95,100,edt,Women,floral,honey sandalwood tonka bean amber musk civet vanilla oakmoss vetiver,carnation tuberose orchid orris root jasmine hiacynth turkish rose ylangylang lilyofthevalley narcissus,5.0,noon,4.02,98.1K,floral honey sandalwood tonka bean amber musk civet vanilla oakmoss vetiver carnation tuberose orchid orris root jasmine hiacynth turkish rose ylangylang lilyofthevalley narcissus,1
28,NARCISO RODRIGUEZ,Narciso Rodriguez,465,226.0,100,edp,Women,musk,patchouli sandalwood,amber musk,4.0,Brand Land,4.02,98,musk patchouli sandalwood amber musk,1
30,Estee Lauder,Knowing,585,220.0,75,edp,Women,woody,oakmoss vetiver sandalwood and amber,jasmine patchouli and orange flower,5.0,KAYA,4.03,4K,woody oakmoss vetiver sandalwood and amber jasmine patchouli and orange flower,1
31,Geoffrey Beene,Grey Flannel For Men,361,79.0,120,edt,Men,woody,tonka bean almond oakmoss vetiver and cedar,mimose iris violet sage rose geranium and narcissus,5.0,top langri,3.07,347,woody tonka bean almond oakmoss vetiver and cedar mimose iris violet sage rose geranium and narcissus,3
33,Rasasi,Al Wisam Day,177,76.0,100,edp,Men,oriental,oak moss and rich and musty oud,amber nuanced clary sage soft and milky sandalwood and woody cedarwood,4.03,hadayiq baris,3.08,122,oriental oak moss and rich and musty oud amber nuanced clary sage soft and milky sandalwood and woody cedarwood,2
34,Mancera,Black Vanilla,588,296.0,120,edp,Unisex,woody,vanilla pods from madagascar and white musk,delicate bulgarian rose violet and jasmine,3.0,MAKE UP,3.08,71,woody vanilla pods from madagascar and white musk delicate bulgarian rose violet and jasmine,1
37,BURBERRY,Brit Rhythm Intense,370,136.65,90,edt,Men,spicy,cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla,amberbasillavendermintpatchouli,4.06,noon,4.02,98.1K,spicy cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla amberbasillavendermintpatchouli,0
40,AIGNER,Starlight,341,126.95,100,edp,Women,floral,patchouli sandalwood vanilla and white musk,cumin jasmine and strawberries,5.0,noon,4.02,98.1K,floral patchouli sandalwood vanilla and white musk cumin jasmine and strawberries,1
