no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
20,NARCISO RODRIGUEZ,Narciso Rodriguez,595,200.0,100,edp,Women,floral,patchouli and sandalwood,amber and musk,4.06,hadayiq baris,3.08,122,floral patchouli and sandalwood amber and musk,1
22,Revlon,Charlie Gold,143,43.0,100,edt,Women,woody,sandalwood cedar wood vanilla caramel musk woody accords,jasmine rose muget freesia cinnamon,4.0,Golden Perfumesعطر أصلي 100  %,3.06,113,woody sandalwood cedar wood vanilla caramel musk woody accords jasmine rose muget freesia cinnamon,1
27,Van Cleef & Arpels,First,170.95,170.95,100,edt,Women,floral,honey sandalwood tonka bean amber musk civet vanilla oakmoss vetiver,carnation tuberose orchid orris root jasmine hiacynth turkish rose ylangylang lilyofthevalley narcissus,5.0,noon,4.02,98.1K,floral honey sandalwood tonka bean amber musk civet vanilla oakmoss vetiver carnation tuberose orchid orris root jasmine hiacynth turkish rose ylangylang lilyofthevalley narcissus,1
28,NARCISO RODRIGUEZ,Narciso Rodriguez,465,226.0,100,edp,Women,musk,patchouli sandalwood,amber musk,4.0,Brand Land,4.02,98,musk patchouli sandalwood amber musk,1
30,Estee Lauder,Knowing,585,220.0,75,edp,Women,woody,oakmoss vetiver sandalwood and amber,jasmine patchouli and orange flower,5.0,KAYA,4.03,4K,woody oakmoss vetiver sandalwood and amber jasmine patchouli and orange flower,1
34,Mancera,Black Vanilla,588,296.0,120,edp,Unisex,woody,vanilla pods from madagascar and white musk,delicate bulgarian rose violet and jasmine,3.0,MAKE UP,3.08,71,woody vanilla pods from madagascar and white musk delicate bulgarian rose violet and jasmine,1
40,AIGNER,Starlight,341,126.95,100,edp,Women,floral,patchouli sandalwood vanilla and white musk,cumin jasmine and strawberries,5.0,noon,4.02,98.1K,floral patchouli sandalwood vanilla and white musk cumin jasmine and strawberries,1
48,CHLOE,Chloe,631,186.0,75,edp,Women,floral,cedar amber,magnolia lilyofthevalley rose,3.05,عالم المشاهير,3.05,75,floral cedar amber magnolia lilyofthevalley rose,1
59,Giorgio Beverly Hills,giorgio,120,120.0,90,edt,Women,floral,sandalwood patchouli vanilla amber cedar oakmoss musk,ylangylang seductive tuberose gardenia jasmine rose orchid,5.0,Faces,3.09,61,floral sandalwood patchouli vanilla amber cedar oakmoss musk ylangylang seductive tuberose gardenia jasmine rose orchid,1
70,YSL,Supreme Bouquet,1215,699.0,75,edp,Unisex,woody,amber musk and patchouli,tuberose jasmine and ylangylang,5.0,PARFUM.1990,3.05,244,woody amber musk and patchouli tuberose jasmine and ylangylang,1
72,RALPH LAUREN,Safari,541,178.0,125,edt,Men,woody,leather sandalwood amber patchouli musk oakmoss cedar,cyclamen carnation cinnamon tarragon jasmine rose,3.05,Pinch Of Perfum,3.05,75,woody leather sandalwood amber patchouli musk oakmoss cedar cyclamen carnation cinnamon tarragon jasmine rose,1
74,TED LAPIDUS,Rumba Passion Ted Lapidus,140,95.0,100,edt,Women,floral,patchouli vanilla and honey,jasmine and rose,5.0,Beauty Gallery,3.07,59,floral patchouli vanilla and honey jasmine and rose,1
82,Ard Al Zaafaran,Oud 24 Hours,47,47.0,100,edp,Unisex,fresh,amber incense sandalwood patchouli and agarwood oud,spicy notes fruity notes jasmine gardenia and ylangylang,4.0,Attractive perfume,3.05,244,fresh amber incense sandalwood patchouli and agarwood oud spicy notes fruity notes jasmine gardenia and ylangylang,1
90,NARCISO RODRIGUEZ,Narciso Rodriguez,436,215.75,50,edp,Women,spicy,patchouli sandalwood,amber musk,4.03,noon,4.02,98.1K,spicy patchouli sandalwood amber musk,1
99,LE CHAMEAU,Genesis Oud Malaki,73,73.0,100,edt,Unisex,arabian,musk and vetiver,agarwood apple patchouli and amber,2.0,Queen Line,3.08,81,arabian musk and vetiver agarwood apple patchouli and amber,1
104,DORALL COLLECTION,Nashwa,43,14.02,100,edt,Women,woody,amber patchouli vanilla musk sandalwood,magnolia gardenia lily of the valley freesia jasmine,5.0,B.A.G,3.07,14.1K,woody amber patchouli vanilla musk sandalwood magnolia gardenia lily of the valley freesia jasmine,1
106,HUGO BOSS,XX,295,158.65,100,edt,Women,fruity,amber musk sandalwood,jasmine rice rose,4.05,Star.perfume,3.09,537,fruity amber musk sandalwood jasmine rice rose,1
108,Dunhill,Desire,230,84.95,100,edt,Men,fresh,vanilla musk and labdanum,rose teakwood and patchouli,4.02,hadayiq baris,3.08,122,fresh vanilla musk and labdanum rose teakwood and patchouli,1
112,ANGEL SCHLESSER,Essential,287,103.95,100,edp,Women,oriental,sandal wood musk and vetiver,peony violet freesia and bulgarian rose,4.06,noon,4.02,98.1K,oriental sandal wood musk and vetiver peony violet freesia and bulgarian rose,1
122,CHOPARD,Wish,182,96.0,75,edp,Women,oriental,patchouli caramel amber sandalwood vanilla,honey milk lily of the valley orchid violet jasmine heliotrope osmanthus and magnolia,4.08,Dior Fragrances,3.09,69,oriental patchouli caramel amber sandalwood vanilla honey milk lily of the valley orchid violet jasmine heliotrope osmanthus and magnolia,1
145,Franck Olivier,Oud Touch,93,93.0,100,edp,Men,woody,amber musk and vanilla,violet patchouli rose jasmine and olibanum,5.0,Faces,3.09,61,woody amber musk and vanilla violet patchouli rose jasmine and olibanum,1
147,Elizabeth Arden,5th Avenue,155,93.0,75,edp,Women,floral,amber tibetan musk sandalwood iris and vanilla,bulgarian pink violet ylangylang jasmine indian tuberose peach carnation and nutmeg,4.0,Ryhana Perfume,4.02,25,floral amber tibetan musk sandalwood iris and vanilla bulgarian pink violet ylangylang jasmine indian tuberose peach carnation and nutmeg,1
151,cacharel,Noa,299,154.75,100,edt,Women,fresh,woodsy transparent with coffee incense touches,white flowers ylangylang rose,4.05,Star.perfume,3.09,537,fresh woodsy transparent with coffee incense touches white flowers ylangylang rose,1
152,GUESS,Seductive Homme,134,91.75,100,edt,Men,spicy,musk sandalwood patchouli amber,vetiver violet leaf orchid,4.05,Star.perfume,3.09,537,spicy musk sandalwood patchouli amber vetiver violet leaf orchid,1
157,GIORGIO ARMANI,Eau Pour Homme Reno 2013,361,186.0,50,edt,Men,citrus,patchouli oakmoss and sandalwood,cloves lily and nutmeg,4.07,MOON LIGHT,3.08,76,citrus patchouli oakmoss and sandalwood cloves lily and nutmeg,1
159,GUESS,Gold,341,119.0,75,edp,Women,floral,sandalwood patchouli amber vetiver and sensual musk,jasmine lotus and intoxicating seductress rose,4.09,Beautiful Live,4.02,7,floral sandalwood patchouli amber vetiver and sensual musk jasmine lotus and intoxicating seductress rose,1
165,Franck Olivier,Frank Olivier,139,87.0,75,edp,Women,musk,musk sandalwood vanilla,jasmine ylangylang heliotrope rose,4.07,AMLAQ,3.09,135,musk musk sandalwood vanilla jasmine ylangylang heliotrope rose,1
173,Calvin Klein,Obsession,231,120.0,125,edt,Men,spicy,amber sandalwood patchouli vanilla and musk,brazilian rosewood sage myrrh pine tree and nutmeg,3.0,noon,4.02,98.1K,spicy amber sandalwood patchouli vanilla and musk brazilian rosewood sage myrrh pine tree and nutmeg,1
