no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
1,Roberto Cavalli,Paradiso Assoluto,415,107.95,50,edp,Women,floral,vanilla sandalwood and patchouli,wild jasmine and red lily,4.08,noon,4.02,98.1K,floral vanilla sandalwood and patchouli wild jasmine and red lily,0
6,HUGO BOSS,The Scent,220,220.0,50,edp,Women,oriental,roasted cocoa,lavender osmanthus flower,4.0,rich&light,43.0,4K,oriental roasted cocoa lavender osmanthus flower,0
8,GUCCI,Bamboo,575,189.0,75,edp,Women,floral,sandalwood,casablanca lily and ylang ylang extracomoros,4.08,Al-Najm,3.07,347,floral sandalwood casablanca lily and ylang ylang extracomoros,0
9,Yves Saint Laurent,M7 Oud Absolu,536,273.0,80,edt,Men,arabian,cistus myrrh oud amber,patchouli,4.05,Al-Najm,3.07,347,arabian cistus myrrh oud amber patchouli,0
13,MONTALE,Black Oud,455,240.0,100,edp,Men,floral,mandarin orange agarwood,musk patchouli,3.03,noon,4.02,98.1K,floral mandarin orange agarwood musk patchouli,0
15,CHLOE,Love Story,483,274.95,75,edp,Women,floral,musk cedar cashmirwood patchouli,orange blossom stephanotis rose black currant peach,5.0,noon,4.02,98.1K,floral musk cedar cashmirwood patchouli orange blossom stephanotis rose black currant peach,0
24,Britney Spears,Fantasy,170,90.0,100,edp,Women,vanilla,luid sandalwood jasmine amber vanilla,sweet napolitano cake verbena jacaranda wood grapefruit blossom,5.0,Cute Shop,3.08,76,vanilla luid sandalwood jasmine amber vanilla sweet napolitano cake verbena jacaranda wood grapefruit blossom,0
37,BURBERRY,Brit Rhythm Intense,370,136.65,90,edt,Men,spicy,cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla,amberbasillavendermintpatchouli,4.06,noon,4.02,98.1K,spicy cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla amberbasillavendermintpatchouli,0
46,Laura Mars,Splandid,36,36.0,100,edp,Women,floral,vanilla amber,jasmine geranium neroli and ylangylan,5.0,hadayiq baris,3.08,122,floral vanilla amber jasmine geranium neroli and ylangylan,0
53,PACO RABANNE,Invictus,395,210.0,100,edt,Men,citrus,guaiac wood and patchouli heart,ambregris accord and grapefruit zests,4.08,Boutique Wareef,3.08,98,citrus guaiac wood and patchouli heart ambregris accord and grapefruit zests,0
55,DORALL COLLECTION,Scholar,19,9.45,100,edt,Men,floral,patchouli moss woodyamber sandalwood musk dry woods,jasmine peach apple green notes lavender muguet dried fruits,5.0,B.A.G,3.07,14.1K,floral patchouli moss woodyamber sandalwood musk dry woods jasmine peach apple green notes lavender muguet dried fruits,0
56,Calvin Klein,Eternity,131,100.0,100,edt,Men,floral,sandalwood amber musk vetiver and brazilian rosewood,coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley and geranium,4.0,hadayiq baris,3.08,122,floral sandalwood amber musk vetiver and brazilian rosewood coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley and geranium,0
58,PACO RABANNE,Lady Million,535,210.0,80,edp,Women,floral,gardenia,arabic jasmine and african orange flower,4.07,Beauty Ideas,3.09,61,floral gardenia arabic jasmine and african orange flower,0
60,Guerlain,Idylle,430,256.0,100,edp,Women,floral,amber accord and sandalwood,magnolia jasmine and ylang ylang,4.03,MOON LIGHT,3.09,33,floral amber accord and sandalwood magnolia jasmine and ylang ylang,0
61,Yves Saint Laurent,Libre,655,410.0,90,edp,Women,floral,amber vanilla ambergris musk,orange blossom jasmine lavender,4.09,Parfume-Stor,4.02,25,floral amber vanilla ambergris musk orange blossom jasmine lavender,0
62,Jean Paul GAULTIER,Scandal,400,288.0,50,edp,Women,floral,patchouli beeswax caramel licorice,honey gardenia jasmine orange blossom peach,5.0,Shopping life,4.02,20,floral patchouli beeswax caramel licorice honey gardenia jasmine orange blossom peach,0
64,Ajmal,Raindrops,97,47.95,50,edp,Women,fruity,floral ambery woody,animalistic floral,4.07,noon,4.02,98.1K,fruity floral ambery woody animalistic floral,0
71,TOMMY HILFIGER,Tommy,340,129.0,100,edt,Men,spicy,amber cactus and cotton,cranberry rose and apple,4.04,AMLAQ,3.09,135,spicy amber cactus and cotton cranberry rose and apple,0
73,EMPORIO ARMANI,Stronger With You,415,175.85,100,edt,Men,floral,amberwood cedar chestnut vanilla,melon pineapple sage,4.05,flower,3.08,66,floral amberwood cedar chestnut vanilla melon pineapple sage,0
77,BOUCHERON,Quatre,462,169.75,100,edp,Women,floral,caramel cashmere vanilla white musk,apple jasmine fishing rose,4.09,noon,4.02,98.1K,floral caramel cashmere vanilla white musk apple jasmine fishing rose,0
79,armani,Stronger With You Intensely,457,336.0,100,edp,Men,sweet aromatic,ambery woods,vanilla,4.08,flower,3.09,537,sweet aromatic ambery woods vanilla,0
81,VALENTINO,Valentina,500,241.0,80,edp,Women,floral,virginia cedarvanillaamber,strawberrytuberoseafrican orange flowerjasmine,5.0,top langri,3.07,347,floral virginia cedarvanillaamber strawberrytuberoseafrican orange flowerjasmine,0
89,ELIE SAAB,Girl of Now Shine,504,192.0,90,edp,Women,arabian,iris jasmine sweet vanilla and patchouli,roasted almonds and ylangylang,5.0,flower,4.02,98,arabian iris jasmine sweet vanilla and patchouli roasted almonds and ylangylang,0
91,Ajmal,Raindrops,97,47.95,50,edp,Women,fruity,floral ambery woody,animalistic floral,4.07,noon,4.02,98.1K,fruity floral ambery woody animalistic floral,0
92,Roberto Cavalli,Uomo,349,126.0,100,edt,Men,floral,cedar,honey lavender,5.0,noon,4.02,98.1K,floral cedar honey lavender,0
94,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85.0,100,edt,Men,spicy,dark chocolate cashmeran coumarin and patchouli,basil verbena and lavender,4.08,Al-Najm,3.07,347,spicy dark chocolate cashmeran coumarin and patchouli basil verbena and lavender,0
100,AVON,Tomorrow,130,70.0,50,edp,Women,floral,powdery floral woody balsamic rose,musk,4.05,Tiffany,3.07,54,floral powdery floral woody balsamic rose musk,0
101,PACO RABANNE,Invictus,395,210.0,100,edt,Men,citrus,guaiac wood and patchouli heart,ambregris accord and grapefruit zests,4.08,Boutique Wareef,3.08,98,citrus guaiac wood and patchouli heart ambregris accord and grapefruit zests,0
123,PACO RABANNE,Olympêa,455,150.0,80,edp,Women,floral,sandalwood cashmere and ambergris,vanilla,4.05,Asrar Aljamal,3.08,61,floral sandalwood cashmere and ambergris vanilla,0
126,PACO RABANNE,Olympea,458,134.0,80,edp,Women,floral,cashmere sandalwood ambergris,salted vanilla,4.0,Number One,4.02,1.3K,floral cashmere sandalwood ambergris salted vanilla,0
127,jennifer lopez,Live,161,104.0,100,edp,Women,fruity,tonka bean sensual rich creamy buttery lactonic caramel,uity red currant blossoms violet,5.0,Star.perfume,3.09,537,fruity tonka bean sensual rich creamy buttery lactonic caramel uity red currant blossoms violet,0
129,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85.0,100,edt,Men,spicy,dark chocolate cashmeran coumarin and patchouli,basil verbena and lavender,4.08,Al-Najm,3.07,347,spicy dark chocolate cashmeran coumarin and patchouli basil verbena and lavender,0
133,BVLGARI,Petits Et Mamans,327,197.75,100,edt,Women,floral,iris and vanilla,white peach,4.08,Tiffany,4.02,75,floral iris and vanilla white peach,0
135,TRUSSARDI,My Name,308,228.0,50,edp,Women,floral,dry amber vanilla,lilac and musk,4.06,Beautiful Live,4.02,7,floral dry amber vanilla lilac and musk,0
143,Roberto Cavalli,Women,430,103.0,75,edp,Women,arabian,benzointonka beansvanilla,orange tree blossom,5.0,rich&light,3.08,69,arabian benzointonka beansvanilla orange tree blossom,0
146,TOMMY HILFIGER,Tommy,340,130.0,100,edt,Men,spicy,amber cactus cotton plant blossom,apple cranberries rose,5.0,Faces,3.09,61,spicy amber cactus cotton plant blossom apple cranberries rose,0
148,ELIE SAAB,Girl Of Now,561,250.0,90,edp,Women,floral,patchoulicashmerantonka bean almod milk,orange blossommagnolialmond,4.05,Beuatyone1,3.05,98,floral patchoulicashmerantonka bean almod milk orange blossommagnolialmond,0
158,LACOSTE,Touch Of Pink,238,95.0,50,edt,Women,floral,woodsymusk base vanilla,jasmine unexpected carrot and spicy coriander,4.06,Cute Shop,4.04,59,floral woodsymusk base vanilla jasmine unexpected carrot and spicy coriander,0
163,HUGO BOSS,The Scent,535,155.0,100,edp,Women,fruity,cacao,osmanthus,4.05,noon,4.02,98.1K,fruity cacao osmanthus,0
164,JAGUAR,Classic Gold,118,79.95,100,edt,Men,woody,patchoulivanillamusk,orange blossomteak wood,4.07,Star.perfume,3.09,537,woody patchoulivanillamusk orange blossomteak wood,0
175,Dolce & Gabbana,The One,100,100.0,75,edp,Women,fruity,tobacco amber cedar,orange blossom ginger cardamom,5.0,Asrar Aljamal,3.09,537,fruity tobacco amber cedar orange blossom ginger cardamom,0
176,Kenzo,World Intense,500,149.75,75,edp,Women,spicy,vanilla,jasmine peony,4.0,Star.perfume,3.09,537,spicy vanilla jasmine peony,0
179,Mariah Carey,Forever,197,126.0,100,edp,Women,floral,musk wood,gardenia tuberose,4.0,perfumes--addresses,4.04,59,floral musk wood gardenia tuberose,0
186,COACH,Coach,36,8.07,2,edp,Women,floral,cashmeran suede musk,turkish rose gardenia,4.08,top langri,3.07,347,floral cashmeran suede musk turkish rose gardenia,0
