no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;cluster
1;roberto cavalli;paradiso assoluto;415;107.95;50.0;edp;women;floral;vanilla sandalwood patchouli;wild jasmine red lily;4.08;noon;4.02;98.1;0
4;roberto cavalli;uomo;260;94.95;50.0;edp;women;arabian;vanille benzoin tonka bean;african orange flower;4.08;noon;4.02;98.1;0
5;roberto cavalli;cavalli;260;94.95;50.0;edp;women;arabian;vanille benzoin tonka bean;african orange flower;4.08;noon;4.02;98.1;0
6;hugo boss;scent;220;220.0;50.0;edp;women;oriental;roasted cocoa;lavender osmanthus flower;4.0;richlight;43.0;4.0;0
7;dorall collection;gold secret;43;12.35;100.0;edt;men;fruity;labdanum musk;lavender cloves;2.09;bag;3.07;14.1;0
8;gucci;bamboo;575;189.0;75.0;edp;women;floral;sandalwood;casablanca lily ylang ylang extracomoros;4.08;alnajm;3.07;347.0;1
9;yves saint laurent;oud absolu;536;273.0;80.0;edt;men;arabian;cistus myrrh oud amber;patchouli;4.05;alnajm;3.07;347.0;1
11;calvin klein;u men;152;85.0;100.0;edt;men;citrus;white musk vetiver cedar;cacao pod;3.07;amlaq;3.09;135.0;0
13;montale;black oud;455;240.0;100.0;edp;men;floral;mandarin orange agarwood;musk patchouli;3.03;noon;4.02;98.1;0
15;chloe;love story;483;274.95;75.0;edp;women;floral;musk cedar cashmirwood patchouli;orange blossom stephanotis rose black currant peach;5.0;noon;4.02;98.1;0
17;dorall collection;pure;22;0.434027778;100.0;edt;men;fresh;amber musk sandalwood coumarin vanilla;pink pepper cardomon cinnamon jasmin cumin red fruits lily nutmeg;4.09;bag;3.07;14.1;0
20;narciso rodriguez;narciso rodriguez;595;200.0;100.0;edp;women;floral;patchouli sandalwood;amber musk;4.06;hadayiq baris;3.08;122.0;0
22;revlon;charlie gold;143;43.0;100.0;edt;women;woody;sandalwood cedar wood vanilla caramel musk woody accords;jasmine rose muget freesia cinnamon;4.0;golden perfumes;3.06;113.0;0
24;britney spears;fantasy;170;90.0;100.0;edp;women;vanilla;luid sandalwood jasmine amber vanilla;sweet napolitano cake verbena jacaranda wood grapefruit blossom;5.0;cute shop;3.08;76.0;0
27;van cleef arpels;first;170.95;170.95;100.0;edt;women;floral;honey sandalwood tonka bean amber musk civet vanilla oakmoss vetiver;carnation tuberose orchid orris root jasmine hiacynth turkish rose ylangylang lilyofthevalley narcissus;5.0;noon;4.02;98.1;0
28;narciso rodriguez;narciso rodriguez;465;226.0;100.0;edp;women;musk;patchouli sandalwood;amber musk;4.0;brand land;4.02;98.0;0
30;estee lauder;knowing;585;220.0;75.0;edp;women;woody;oakmoss vetiver sandalwood amber;jasmine patchouli orange flower;5.0;kaya;4.03;4.0;0
31;geoffrey beene;grey flannel men;361;79.0;120.0;edt;men;woody;tonka bean almond oakmoss vetiver cedar;mimose iris violet sage rose geranium narcissus;5.0;top langri;3.07;347.0;1
33;rasasi;al wisam day;177;76.0;100.0;edp;men;oriental;oak moss rich musty oud;amber nuanced clary sage soft milky sandalwood woody cedarwood;4.03;hadayiq baris;3.08;122.0;0
34;mancera;black vanilla;588;296.0;120.0;edp;unisex;woody;vanilla pods madagascar white musk;delicate bulgarian rose violet jasmine;3.0;make;3.08;71.0;0
37;burberry;brit rhythm intense;370;136.65;90.0;edt;men;spicy;cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla;amberbasillavendermintpatchouli;4.06;noon;4.02;98.1;0
40;aigner;starlight;341;126.95;100.0;edp;women;floral;patchouli sandalwood vanilla white musk;cumin jasmine strawberries;5.0;noon;4.02;98.1;0
41;bentley;azure;387;107.0;100.0;edt;men;citrus;cashmere wood tonka bean orcanox;pimento tea accord lavender clary sage;4.06;cute shop;4.01;538.0;1
42;versace;dylan blue;85;20.05;5.0;edt;men;citrus;frankincense musk saffron tonka beans;ambroxan black pepper papyrus patchouli violet leaves;4.04;princess beauty;4.02;467.0;1
44;yves saint laurent;la nuit de lhomme lintense;583;204.0;100.0;edp;men;vanilla;tonka bean patchouli;vanilla sage;5.0;parfumestor;4.01;319.0;1
46;laura mars;splandid;36;36.0;100.0;edp;women;floral;vanilla amber;jasmine geranium neroli ylangylan;5.0;hadayiq baris;3.08;122.0;0
47;giorgio armani;stronger;415;170.0;100.0;edt;men;vanilla;vanilla chestnut cedar amber wood guaiac wood;pineapple sage melon cinnamon lavender;4.05;hadayiq baris;3.08;122.0;0
48;chloe;chloe;631;186.0;75.0;edp;women;floral;cedar amber;magnolia lilyofthevalley rose;3.05;;3.05;75.0;0
49;hermes;terre dhermes;15;9.55;2.0;edt;men;citrus;patchouli cedar vetiver benzoin;pepper pelargonium;5.0;beautiful lady;3.08;23.0;0
51;versace;dylan blue;425;217.85;100.0;edt;men;fresh;incense musk tonka bean saffron;ambroxan patchouli black pepper violet leaf papyrus;4.06;noon;4.02;98.1;0
53;paco rabanne;invictus;395;210.0;100.0;edt;men;citrus;guaiac wood patchouli heart;ambregris accord grapefruit zests;4.08;boutique wareef;3.08;98.0;0
55;dorall collection;scholar;19;9.45;100.0;edt;men;floral;patchouli moss woodyamber sandalwood musk dry woods;jasmine peach apple green notes lavender muguet dried fruits;5.0;bag;3.07;14.1;0
56;calvin klein;eternity;131;100.0;100.0;edt;men;floral;sandalwood amber musk vetiver brazilian rosewood;coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley geranium;4.0;hadayiq baris;3.08;122.0;0
58;paco rabanne;lady million;535;210.0;80.0;edp;women;floral;gardenia;arabic jasmine african orange flower;4.07;beauty ideas;3.09;61.0;0
59;giorgio beverly hills;giorgio;120;120.0;90.0;edt;women;floral;sandalwood patchouli vanilla amber cedar oakmoss musk;ylangylang seductive tuberose gardenia jasmine rose orchid;5.0;faces;3.09;61.0;0
60;guerlain;idylle;430;256.0;100.0;edp;women;floral;amber accord sandalwood;magnolia jasmine ylang ylang;4.03;moon light;3.09;33.0;0
61;yves saint laurent;libre;655;410.0;90.0;edp;women;floral;amber vanilla ambergris musk;orange blossom jasmine lavender;4.09;parfumestor;4.02;25.0;0
62;jean paul gaultier;scandal;400;288.0;50.0;edp;women;floral;patchouli beeswax caramel licorice;honey gardenia jasmine orange blossom peach;5.0;shopping life;4.02;20.0;0
63;burberry;mr burberry;515;179.95;100.0;edp;men;woody;patchouli amber sandalwood vetiver benzoin cinnamon;lavender cedar nutmeg;4.05;noon;4.02;98.1;0
64;ajmal;raindrops;97;47.95;50.0;edp;women;fruity;floral ambery woody;animalistic floral;4.07;noon;4.02;98.1;0
66;burberry;mr burberry;295;200.0;100.0;edp;men;woody;patchouli amber sandalwood vetiver benzoin cinnamon;lavender cedar nutmeg;5.0;starperfume;3.09;537.0;1
67;versace;dylan blue;85;20.05;5.0;edt;men;citrus;frankincense musk saffron tonka beans;ambroxan black pepper papyrus patchouli violet leaves;4.04;princess beauty;3.05;467.0;1
69;united colors benetton;cold;51;27.95;100.0;edt;women;spicy;amber frankincense musk patchouli vanilla vetiver;coriander cumin pimiento;4.0;top langri;4.02;347.0;1
70;ysl;supreme bouquet;1215;699.0;75.0;edp;unisex;woody;amber musk patchouli;tuberose jasmine ylangylang;5.0;parfum;3.05;244.0;0
71;tommy hilfiger;tommy;340;129.0;100.0;edt;men;spicy;amber cactus cotton;cranberry rose apple;4.04;amlaq;3.09;135.0;0
72;ralph lauren;safari;541;178.0;125.0;edt;men;woody;leather sandalwood amber patchouli musk oakmoss cedar;cyclamen carnation cinnamon tarragon jasmine rose;3.05;pinch perfum;3.05;75.0;0
73;emporio armani;stronger;415;175.85;100.0;edt;men;floral;amberwood cedar chestnut vanilla;melon pineapple sage;4.05;flower;3.08;66.0;0
74;ted lapidus;rumba passion ted lapidus;140;95.0;100.0;edt;women;floral;patchouli vanilla honey;jasmine rose;5.0;beauty gallery;3.07;59.0;0
75;hugo boss;dark blue;159;129.0;75.0;edt;men;citrus;benzoin olibanum patchouli suede;pelargonium cypress sage;4.05;diorworld;3.06;30.0;0
76;versace;dylan blue;425;217.85;100.0;edt;men;fresh;incense musk tonka bean saffron;ambroxan patchouli black pepper violet leaf papyrus;4.06;noon;4.02;98.1;0
77;boucheron;quatre;462;169.75;100.0;edp;women;floral;caramel cashmere vanilla white musk;apple jasmine fishing rose;4.09;noon;4.02;98.1;0
78;dorall collection;molto carina;27;8.55;100.0;edt;women;woody;musk lactone woody amber;tropical fruits peach jasmin water;4.0;bag;3.07;14.1;0
79;armani;stronger intensely;457;336.0;100.0;edp;men;sweet aromatic;ambery woods;vanilla;4.08;flower;3.09;537.0;1
80;paco rabanne;million;395;173.0;100.0;edt;men;woody;indian patchouli amber woody notes leather;rose absolute musk cinnamon bark;3.08;alnajm;3.07;347.0;1
81;valentino;valentina;500;241.0;80.0;edp;women;floral;virginia cedarvanillaamber;strawberrytuberoseafrican orange flowerjasmine;5.0;top langri;3.07;347.0;1
82;ard al zaafaran;oud hours;47;47.0;100.0;edp;unisex;fresh;amber incense sandalwood patchouli agarwood oud;spicy notes fruity notes jasmine gardenia ylangylang;4.0;attractive perfume;3.05;244.0;0
87;guerlain;ideal;560;223.0;100.0;edp;men;fruity;leather sandalwood tonka beans;bulgarian rose cherry incense vanilla;4.08;majestueuse;4.08;21.0;0
89;elie saab;girl shine;504;192.0;90.0;edp;women;arabian;iris jasmine sweet vanilla patchouli;roasted almonds ylangylang;5.0;flower;4.02;98.0;0
90;narciso rodriguez;narciso rodriguez;436;215.75;50.0;edp;women;spicy;patchouli sandalwood;amber musk;4.03;noon;4.02;98.1;0
91;ajmal;raindrops;97;47.95;50.0;edp;women;fruity;floral ambery woody;animalistic floral;4.07;noon;4.02;98.1;0
92;roberto cavalli;uomo;349;126.0;100.0;edt;men;floral;cedar;honey lavender;5.0;noon;4.02;98.1;0
93;montblanc;emblem absolu;395;116.0;100.0;edt;men;spicy;patchouli vetiver moss;pink pepper lavender fruits honey;4.07;modon;3.09;537.0;1
94;lacoste;eau de lacoste l noir;330;85.0;100.0;edt;men;spicy;dark chocolate cashmeran coumarin patchouli;basil verbena lavender;4.08;alnajm;3.07;347.0;1
99;le chameau;genesis oud malaki;73;73.0;100.0;edt;unisex;arabian;musk vetiver;agarwood apple patchouli amber;2.0;queen line;3.08;81.0;0
100;avon;tomorrow;130;70.0;50.0;edp;women;floral;powdery floral woody balsamic rose;musk;4.05;tiffany;3.07;54.0;0
101;paco rabanne;invictus;395;210.0;100.0;edt;men;citrus;guaiac wood patchouli heart;ambregris accord grapefruit zests;4.08;boutique wareef;3.08;98.0;0
104;dorall collection;nashwa;43;14.02;100.0;edt;women;woody;amber patchouli vanilla musk sandalwood;magnolia gardenia lily valley freesia jasmine;5.0;bag;3.07;14.1;0
106;hugo boss;xx;295;158.65;100.0;edt;women;fruity;amber musk sandalwood;jasmine rice rose;4.05;starperfume;3.09;537.0;1
108;dunhill;desire;230;84.95;100.0;edt;men;fresh;vanilla musk labdanum;rose teakwood patchouli;4.02;hadayiq baris;3.08;122.0;0
109;dior;sauvage;1176;240.85;100.0;edt;men;fresh;cedar labdanum ambroxan;geranium lavender sichuan pepper elemi pink pepper vetiver patchouli;3.08;;3.09;61.0;0
110;trussardi;land;300;164.0;100.0;edt;men;woody;leather vetiver tonka bean;lavender violet calone;4.05;beautiful live;412.0;7.0;2
111;dupont;passenger;95;95.0;100.0;edt;men;woody;guaiac wood benzoin;ginger cardamom pink pepper lavender;4.05;beautiful live;412.0;7.0;2
112;angel schlesser;essential;287;103.95;100.0;edp;women;oriental;sandal wood musk vetiver;peony violet freesia bulgarian rose;4.06;noon;4.02;98.1;0
113;calvin klein;euphoria;220;91.95;100.0;edt;men;woody;amber patchouli brazilian redwood suede;black basil sage cedar;5.0;noon;4.02;98.1;0
116;dorall collection;classic black;9;8.08;100.0;edt;men;fresh;chocolatecashmere wood patchouli tonka bean;basil verbena lavender;4.0;beauty;3.09;538.0;1
122;chopard;wish;182;96.0;75.0;edp;women;oriental;patchouli caramel amber sandalwood vanilla;honey milk lily valley orchid violet jasmine heliotrope osmanthus magnolia;4.08;dior fragrances;3.09;69.0;0
123;paco rabanne;olympa;455;150.0;80.0;edp;women;floral;sandalwood cashmere ambergris;vanilla;4.05;asrar aljamal;3.08;61.0;0
126;paco rabanne;olympea;458;134.0;80.0;edp;women;floral;cashmere sandalwood ambergris;salted vanilla;4.0;number one;4.02;1.3;0
127;jennifer lopez;live;161;104.0;100.0;edp;women;fruity;tonka bean sensual rich creamy buttery lactonic caramel;uity red currant blossoms violet;5.0;starperfume;3.09;537.0;1
129;lacoste;eau de lacoste l noir;330;85.0;100.0;edt;men;spicy;dark chocolate cashmeran coumarin patchouli;basil verbena lavender;4.08;alnajm;3.07;347.0;1
130;calvin klein;euphoria intense;440;99.0;100.0;edt;men;spicy;cashmere woods madagascar vanilla burnt amber australian sandalwood;black basil sage cedar vetiver;4.02;alnajm;3.07;347.0;1
133;bvlgari;petits et mamans;327;197.75;100.0;edt;women;floral;iris vanilla;white peach;4.08;tiffany;4.02;75.0;0
135;trussardi;name;308;228.0;50.0;edp;women;floral;dry amber vanilla;lilac musk;4.06;beautiful live;4.02;7.0;0
137;calvin klein;intense euphoria;290;109.95;100.0;edt;men;spicy;labdanum amber patchouli agarwood myrrh;black basil sage cedar vetiver;4.04;noon;4.02;98.1;0
139;hermes;terre hermes;474;173.0;100.0;edt;men;citrus;woody notes patchouli cedar;geranium;3.09;boutique wareef;4.02;98.1;0
142;genie;london burberry;29;0.649305556;25.0;edp;women;floral;wood musk;jasmine tiare flower soft peony;4.07;moon perfume;3.07;199.0;1
143;roberto cavalli;women;430;103.0;75.0;edp;women;arabian;benzointonka beansvanilla;orange tree blossom;5.0;richlight;3.08;69.0;0
144;lalique;lalique;541;249.0;100.0;edp;women;woody;white musksandalwoodvanilla;blackberrycassispear;4.04;faces;3.09;61.0;0
145;franck olivier;oud touch;93;93.0;100.0;edp;men;woody;amber musk vanilla;violet patchouli rose jasmine olibanum;5.0;faces;3.09;61.0;0
146;tommy hilfiger;tommy;340;130.0;100.0;edt;men;spicy;amber cactus cotton plant blossom;apple cranberries rose;5.0;faces;3.09;61.0;0
147;elizabeth arden;th avenue;155;93.0;75.0;edp;women;floral;amber tibetan musk sandalwood iris vanilla;bulgarian pink violet ylangylang jasmine indian tuberose peach carnation nutmeg;4.0;ryhana perfume;4.02;25.0;0
148;elie saab;girl;561;250.0;90.0;edp;women;floral;patchoulicashmerantonka bean almod milk;orange blossommagnolialmond;4.05;beuatyone;3.05;98.0;0
149;paco rabanne;one million;426;287.95;200.0;edt;men;woody;blonde leather patchouli white woods amber;rose absolute cinnamon spices;5.0;noon original genuine product;4.02;98.1;0
151;cacharel;noa;299;154.75;100.0;edt;women;fresh;woodsy transparent coffee incense touches;white flowers ylangylang rose;4.05;starperfume;3.09;537.0;1
152;guess;seductive homme;134;91.75;100.0;edt;men;spicy;musk sandalwood patchouli amber;vetiver violet leaf orchid;4.05;starperfume;3.09;537.0;1
153;al fakhr;ameer al oud khususi;28;12.0;100.0;edp;unisex;woody sweet;sandalwood cedarwood;black pepper cardamom;4.01;kikup;3.09;425.0;1
155;givenchy;pour homme;219;117.0;100.0;edt;men;spicy;labdanum ceder;vetiver lavender;4.04;alnajm;3.07;347.0;1
156;rasasi;blue;36.95;36.95;100.0;edt;men;spicy;amber woody;geranium rose coriander pepper jasmine;5.0;hadayiq baris;3.08;122.0;0
157;giorgio armani;eau pour homme reno;361;186.0;50.0;edt;men;citrus;patchouli oakmoss sandalwood;cloves lily nutmeg;4.07;moon light;3.08;76.0;0
158;lacoste;touch pink;238;95.0;50.0;edt;women;floral;woodsymusk base vanilla;jasmine unexpected carrot spicy coriander;4.06;cute shop;4.04;59.0;0
159;guess;gold;341;119.0;75.0;edp;women;floral;sandalwood patchouli amber vetiver sensual musk;jasmine lotus intoxicating seductress rose;4.09;beautiful live;4.02;7.0;0
161;lacoste;lacoste;368;115.0;100.0;edt;men;citrus;cedar woody notes amber vanilla musk;black pepper ginger jasmine almond;4.06;noon;4.02;98.1;0
163;hugo boss;scent;535;155.0;100.0;edp;women;fruity;cacao;osmanthus;4.05;noon;4.02;98.1;0
164;jaguar;classic gold;118;79.95;100.0;edt;men;woody;patchoulivanillamusk;orange blossomteak wood;4.07;starperfume;3.09;537.0;1
165;franck olivier;frank olivier;139;87.0;75.0;edp;women;musk;musk sandalwood vanilla;jasmine ylangylang heliotrope rose;4.07;amlaq;3.09;135.0;0
171;calvin klein;intense euphoria;290;109.95;100.0;edt;men;spicy;labdanum amber patchouli agarwood myrrh;black basil sage cedar vetiver;4.04;noon;4.02;98.1;0
173;calvin klein;obsession;231;120.0;125.0;edt;men;spicy;amber sandalwood patchouli vanilla musk;brazilian rosewood sage myrrh pine tree nutmeg;3.0;noon;4.02;98.1;0
174;lattafa;sheikh al shuyukh;63;32.75;50.0;edp;unisex;aromatic;vetiver patchouli;lavender sage rosemary;4.08;noon;4.02;98.1;0
175;dolce gabbana;one;100;100.0;75.0;edp;women;fruity;tobacco amber cedar;orange blossom ginger cardamom;5.0;asrar aljamal;3.09;537.0;1
176;kenzo;world intense;500;149.75;75.0;edp;women;spicy;vanilla;jasmine peony;4.0;starperfume;3.09;537.0;1
179;mariah carey;forever;197;126.0;100.0;edp;women;floral;musk wood;gardenia tuberose;4.0;perfumesaddresses;4.04;59.0;0
180;burberry;brit splash;278;194.0;100.0;edt;men;fresh;moss musk vetiver;cyclamen violet water notes;4.06;chansles;3.09;33.0;0
181;prada;amber intense;324;321.95;100.0;edp;men;spicy;creamy amber;vanilla;4.04;ryhana perfume;4.02;25.0;0
182;milton lloyd;hawaii london;51;23.0;55.0;edt;women;floral;woody notes musk;jasmine rose;4.0;hawas;4.02;9.0;0
183;lattafa;khalis pure oudi;68;37.0;100.0;edp;unisex;woody;amber cedar guaiac wood musk vanilla;jasmine sandalwood;4.03;noon;4.02;98.1;0
185;dorall collection;oud arabi;11.35;11.35;100.0;pdt;unisex;woody;patchouli sandalwood musk amber;oudh rose guaiac wood jasmine;3.09;princess beauty;3.08;467.0;1
186;coach;coach;36;8.07;2.0;edp;women;floral;cashmeran suede musk;turkish rose gardenia;4.08;top langri;3.07;347.0;1
187;mancera;coco vanille;446;285.0;120.0;edp;women;vanilla;white musk woody notes madagascar vanilla;jasmine ylangylang tiare flower;5.0;amlaq;3.09;135.0;0
188;burberry;weekend;197;160.0;100.0;edp;women;oriental;violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth;violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth;4.06;amlaq;3.09;135.0;0
191;amouage;gold;1376;904.85;100.0;edp;women;woody;ambergris civet musk cedar wood sandalwood;myrrh orris jasmine;4.04;parvant store;3.08;76.0;0
192;givenchy;gentlemen;627;260.0;100.0;edt;men;woody;skin accord tonka bean;cedar wood patchouli heart leather;4.0;faces;3.09;61.0;0
193;jaguar;classic amber;87;85.0;100.0;edt;men;arabian;cedar wood patchouli vanilla leather vetiver labdanum musk;cinnamonblack pepperappleorange blossoms elemi resin;4.03;abu al tayyeb perfumes;3.09;33.0;0
194;aigner;debut;220;143.75;100.0;edp;women;citrus;patchouli cedar vanilla white musk oak moss;luminous orange blossom water lily jasmine sunflower seed;4.05;noon;4.02;98.1;0
195;jcasanova;pandora;142;88.95;100.0;edp;women;floral;cedar moss musk amber sandalwood;lilyofthevalley rose jasmine narcissus orchid;5.0;noon;4.02;98.1;0
196;roberto cavalli;serpentine;286;162.85;100.0;edp;women;arabian;tolu balsam sandalwood amber;violet leaf tiare flower pepper frangipani;4.04;noon;4.02;98.1;0
197;bvlgari;man black;483;200.95;100.0;edp;men;woody;benzoin guaiac wood tonka beans;iris leather tuberose;4.07;starperfume;3.09;537.0;1
198;montblanc;lady emblem;08.05;8.05;2.0;edt;men;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;5.0;queen beauty;3.08;467.0;1
199;al fakhr;ameer al oud khususi;28;12.0;100.0;edp;unisex;woody sweet;sandalwood cedarwood;black pepper cardamom;4.01;kikup;3.06;425.0;1
200;lacoste;touch pink;249;90.0;90.0;edt;women;floral;sandalwood musk vanilla;carrot seeds coriander jasmine violet leaf cardamom;5.0;cute shop;3.07;347.0;1
202;burberry;burberry bl;699;255.85;90.0;edt;women;floral;amber patchouli;candied rose peach nectar;5.0;amlaq;3.09;135.0;0
204;ted lapidus;creation;101;50.0;100.0;edt;women;floral;jasmine rose tuberose carnation;jasmine rose tuberose carnation;4.07;alkhalijiah perfume;3.05;88.0;0
206;benetton;hot;124;29.85;100.0;edt;women;fruity;sandalwood amber musk vanilla oak moss cedar;apricot iris water jasmine lily valley;5.0;beauty gallery;3.07;59.0;0
208;lacoste;lacoste;310;98.95;50.0;edp;women;floral;himalayan cedar warm woman skin accord sandal incense;heliotrope jasmine alliance hibiscus blossom bulgarian rose;4.06;noon;4.02;98.1;0
209;lacoste;lacoste;368;115.0;100.0;edt;men;citrus;cedar woody notes amber vanilla musk;black pepper ginger jasmine almond;4.06;noon;4.02;98.1;0
210;sedr alkhaleej perfumes;love touch;111;49.85;100.0;edp;women;fresh;woody leather musk;tiare flower rose;5.0;noon;4.02;98.1;0
213;lanvin;rumeur;154;71.0;100.0;edp;women;floral;amber patchouli musk;orange blossom plum rose jasmine lily valley;5.0;top langri;3.07;347.0;1
