no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;combined_notes;note_length;unique_words;cluster
1;Roberto Cavalli;Paradiso Assoluto;415;107.95;50;edp;Women;floral;vanilla sandalwood patchouli;wild jasmine red lily;4.08;noon;4.02;98.1K;floral vanilla sandalwood patchouli wild jasmine red lily edp;61;9;0
4;Roberto Cavalli;Uomo;260;94.95;50;edp;Women;arabian;vanille benzoin tonka bean;african orange flower;4.08;noon;4.02;98.1K;arabian vanille benzoin tonka bean african orange flower edp;60;9;0
5;Roberto Cavalli;cavalli;260;94.95;50;edp;Women;arabian;vanille benzoin tonka bean;african orange flower;4.08;noon;4.02;98.1K;arabian vanille benzoin tonka bean african orange flower edp;60;9;0
6;HUGO BOSS;The Scent;220;220.0;50;edp;Women;oriental;roasted cocoa;lavender osmanthus flower;4.0;rich&light;43.0;4K;oriental roasted cocoa lavender osmanthus flower edp;52;7;0
7;DORALL COLLECTION;Gold Secret;43;12.35;100;edt;Men;fruity;labdanum musk;lavender cloves;2.09;B.A.G;3.07;14.1K;fruity labdanum musk lavender cloves edt;40;6;0
8;GUCCI;Bamboo;575;189.0;75;edp;Women;floral;sandalwood;casablanca lily ylang ylang extracomoros;4.08;Al-Najm;3.07;347;floral sandalwood casablanca lily ylang ylang extracomoros edp;62;7;0
9;Yves Saint Laurent;M7 Oud Absolu;536;273.0;80;edt;Men;arabian;cistus myrrh oud amber;patchouli;4.05;Al-Najm;3.07;347;arabian cistus myrrh oud amber patchouli edt;44;7;0
11;Calvin Klein;IN 2 U MEN;152;85.0;100;edt;Men;citrus;white musk vetiver cedar;cacao pod;3.07;AMLAQ;3.09;135;citrus white musk vetiver cedar cacao pod edt;45;8;0
13;MONTALE;Black Oud;455;240.0;100;edp;Men;floral;mandarin orange agarwood;musk patchouli;3.03;noon;4.02;98.1K;floral mandarin orange agarwood musk patchouli edp;50;7;0
15;CHLOE;Love Story;483;274.95;75;edp;Women;floral;musk cedar cashmirwood patchouli;orange blossom stephanotis rose black currant peach;5.0;noon;4.02;98.1K;floral musk cedar cashmirwood patchouli orange blossom stephanotis rose black currant peach edp;95;13;1
20;NARCISO RODRIGUEZ;Narciso Rodriguez;595;200.0;100;edp;Women;floral;patchouli sandalwood;amber musk;4.06;hadayiq baris;3.08;122;floral patchouli sandalwood amber musk edp;42;6;0
22;Revlon;Charlie Gold;143;43.0;100;edt;Women;woody;sandalwood cedar wood vanilla caramel musk woody accords;jasmine rose muget freesia cinnamon;4.0;Golden Perfumesعطر أصلي 100  %;3.06;113;woody sandalwood cedar wood vanilla caramel musk woody accords jasmine rose muget freesia cinnamon edt;102;14;1
24;Britney Spears;Fantasy;170;90.0;100;edp;Women;vanilla;luid sandalwood jasmine amber vanilla;sweet napolitano cake verbena jacaranda wood grapefruit blossom;5.0;Cute Shop;3.08;76;vanilla luid sandalwood jasmine amber vanilla sweet napolitano cake verbena jacaranda wood grapefruit blossom edp;113;14;1
