no;brand;name;new_price;ml;concentration;department;scents;base_note;middle_note;combined_notes;note_length;unique_words;cluster
0;PACO RABANNE;1 Million Lucky;244;100;EDT;Men;woody;oakmoss patchouli vetiver;hazelnut jasmine cashmir wood cedar honey;woody oakmoss patchouli vetiver hazelnut jasmine cashmir wood cedar honey;73;10;2
1;Roberto Cavalli;Paradiso Assoluto;107;50;EDP;Women;floral;vanilla sandalwood patchouli;wild jasmine red lily;floral vanilla sandalwood patchouli wild jasmine red lily;57;8;0
2;S.T.Dupont;Royal Amber;186;100;EDP;Unisex;arabian;lemon mint wood moss;sandalwood cedar;arabian lemon mint wood moss sandalwood cedar;45;7;0
3;GUESS;Seductive Blue;103;100;EDT;Men;spicy;cashmere wood moss rippled sand accord;blue coral aquaspace accord geranium;spicy cashmere wood moss rippled sand accord blue coral aquaspace accord geranium;81;11;2
4;Roberto Cavalli;Uomo;94;50;EDP;Women;arabian;vanille benzoin tonka bean;african orange flower;arabian vanille benzoin tonka bean african orange flower;56;8;0
5;Roberto Cavalli;cavalli;94;50;EDP;Women;arabian;vanille benzoin tonka bean;african orange flower;arabian vanille benzoin tonka bean african orange flower;56;8;0
6;HUGO BOSS;The Scent;220;50;EDP;Women;oriental;roasted cocoa;lavender osmanthus flower;oriental roasted cocoa lavender osmanthus flower;48;6;0
7;DORALL COLLECTION;Gold Secret;12;100;EDT;Men;fruity;labdanum musk;lavender cloves;fruity labdanum musk lavender cloves;36;5;0
8;GUCCI;Bamboo;189;75;EDP;Women;floral;sandalwood;casablanca lily ylang ylang extracomoros;floral sandalwood casablanca lily ylang ylang extracomoros;58;6;0
9;Yves Saint Laurent;M7 Oud Absolu;273;80;EDT;Men;arabian;cistus myrrh oud amber;patchouli;arabian cistus myrrh oud amber patchouli;40;6;0
10;CERRUTI 1881;1881;119;100;EDT;Men;fresh;musk sandalwood patchouli oak moss cedar pepper pine tree;vetiver ylangylang rose lilyofthevalley cassia;fresh musk sandalwood patchouli oak moss cedar pepper pine tree vetiver ylangylang rose lilyofthevalley cassia;110;15;2
11;Calvin Klein;IN 2 U MEN;85;100;EDT;Men;citrus;white musk vetiver cedar;cacao pod;citrus white musk vetiver cedar cacao pod;41;7;0
12;Rasasi;Royale Blue;45;75;EDP;Men;fruity;delicate musky sensual woods;distinct exotic;fruity delicate musky sensual woods distinct exotic;51;7;0
13;MONTALE;Black Oud;240;100;EDP;Men;floral;mandarin orange agarwood;musk patchouli;floral mandarin orange agarwood musk patchouli;46;6;0
14;Yves Saint Laurent;L'Homme;273;100;EDT;Men;woody;tonka bean tahitian vetiver cedar;spices white pepper basil violet leaf;woody tonka bean tahitian vetiver cedar spices white pepper basil violet leaf;77;12;2
15;CHLOE;Love Story;274;75;EDP;Women;floral;musk cedar cashmirwood patchouli;orange blossom stephanotis rose black currant peach;floral musk cedar cashmirwood patchouli orange blossom stephanotis rose black currant peach;91;12;2
16;NARCISO RODRIGUEZ;Narciso Rouge;275;90;EDP;Women;woody;cedar wood tonka beans vetiver;musk;woody cedar wood tonka beans vetiver musk;41;7;0
17;DORALL COLLECTION;24 Pure;0;100;EDT;Men;fresh;amber musk sandalwood coumarin vanilla;pink pepper cardomon cinnamon jasmin cumin red fruits lily nutmeg;fresh amber musk sandalwood coumarin vanilla pink pepper cardomon cinnamon jasmin cumin red fruits lily nutmeg;110;16;2
18;Rasasi;Romance;35;45;EDP;Women;floral;amber musk powdery notes cedar sandalwood;rosejasmine;floral amber musk powdery notes cedar sandalwood rosejasmine;60;8;0
19;BOUCHERON;Quatre;171;100;EDP;Women;floral;golden woods musk;sambac jasmine absolute rose absolute;floral golden woods musk sambac jasmine absolute rose absolute;62;8;0
20;NARCISO RODRIGUEZ;Narciso Rodriguez;200;100;EDP;Women;floral;patchouli sandalwood;amber musk;floral patchouli sandalwood amber musk;38;5;0
